RegionKey,year,wind_intensity,flood_exposure,embedded_cap_MW,curtail_events,curtail_any,outage_related_curtailmenttotal_energy_reduction_mwh,average_access_reduction_mw,curtailed_mw,curtailment_flag,exposure_z,W_hat,curtail_events_k,y_curt_log1p,StormYearZ,F_base,S_pos,S_year_pos,S_mix,X_inter,X_sp,F_phys_raw,F_cs,F_hat,E_hat,MHI
Northeast,2023,,,,30,1,26269.25,408.34,26269.25,30,-0.21997426,1.28E-17,30,3.433987204,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,0,-3.799009332,-0.759801866
Northeast,2024,,,,44,1,19972.23,668.63,19972.23,44,0.090068085,1.28E-17,44,3.80666249,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,0,1.555497885,0.311099577
Northeast,2025,,,,8,1,1065.58,115.57,1065.58,8,-0.810852998,1.28E-17,8,2.197224577,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,0,-14.0036298,-2.80072596
Northeast,1998,,,2.591,,,,,,,-0.356005701,1.28E-17,0,0,0.089683762,0,1.28E-17,0.089683762,1.34E-17,0,1.15E-18,1.28E-17,-1,-0.35,-6.148305612,-1.334661122
Northeast,2000,,,0.616,,,,,,,-0.409311174,1.28E-17,0,0,0.00768718,0,1.28E-17,0.00768718,1.29E-17,0,9.85E-20,1.28E-17,4.27E-09,-0.227499998,-7.068904183,-1.482030836
Northeast,2002,,,1.95,,,,,,,-0.373306363,1.28E-17,0,0,-0.935273513,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.147874998,-6.447092287,-1.333780957
Northeast,2003,,,2.746,,,,,,,-0.351822233,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,6.41E-09,-0.096118746,-6.076056104,-1.244046845
Northeast,2004,,,0.821,,,,,,,-0.403778201,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,-0.707106781,-0.309964558,-6.973348382,-1.487659044
Northeast,2005,,,0.103,,,,,,,-0.423157102,1.28E-17,0,0,2.713574385,0,1.28E-17,2.713574385,3.02E-17,0,3.48E-17,1.28E-17,4.27E-09,-0.201476961,-7.308026748,-1.522048438
Northeast,2007,,,0.936,,,,,,,-0.400674338,1.28E-17,0,0,0.889150436,0,1.28E-17,0.889150436,1.85E-17,0,1.14E-17,1.28E-17,4.27E-09,-0.130960023,-6.919743908,-1.423236789
Northeast,2008,,,3.204,,,,,,,-0.339460762,1.28E-17,0,0,1.032644455,0,1.28E-17,1.032644455,1.94E-17,0,1.32E-17,1.28E-17,4.27E-09,-0.085124014,-5.862570461,-1.198051296
Northeast,2009,,,0.205,,,,,,,-0.42040411,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.055330607,-7.260481911,-1.468695564
Northeast,2010,,,0.975,,,,,,,-0.399621723,1.28E-17,0,0,-0.58678804,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.035964893,-6.901565,-1.391102468
Northeast,2011,,,5.115,,,,,,,-0.287882656,1.28E-17,0,0,0.110182907,0,1.28E-17,0.110182907,1.35E-17,0,1.41E-18,1.28E-17,-0.707106781,-0.270864554,-4.971803945,-1.075620155
Northeast,2012,,,4.811,,,,,,,-0.29608765,1.28E-17,0,0,-0.771280349,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.176061959,-5.113506206,-1.075519829
Northeast,2013,,,7.362,,,,,,,-0.227235872,1.28E-17,0,0,0.253676926,0,1.28E-17,0.253676926,1.44E-17,0,3.25E-18,1.28E-17,4.27E-09,-0.114440272,-3.924419141,-0.81921591
Northeast,2014,,,18.41,,,,,,,0.070950896,1.28E-17,0,0,-1.017270095,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,-0.707106777,-0.321873548,1.225339344,0.148505804
Northeast,2015,,,18.971,,,,,,,0.086092349,1.28E-17,0,0,1.586121383,0,1.28E-17,1.586121383,2.30E-17,0,2.03E-17,1.28E-17,4.27E-09,-0.209217805,1.486835951,0.234601849
Northeast,2016,,,12.139,,,,,,,-0.098304102,1.28E-17,0,0,0.048685471,0,1.28E-17,0.048685471,1.31E-17,0,6.24E-19,1.28E-17,4.27E-09,-0.135991572,-1.697735915,-0.380344654
Northeast,2017,,,6.69,,,,,,,-0.245373228,1.28E-17,0,0,-0.156305984,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.08839452,-4.237655718,-0.8740495
Northeast,2018,,,6.496,,,,,,,-0.25060931,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.057456437,-4.328084135,-0.882853758
Northeast,2019,,,3.348,,,,,,,-0.335574185,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.037346682,-5.795448337,-1.170293672
Northeast,2020,,,0.821,,,,,,,-0.403778201,1.28E-17,0,0,0.971147018,0,1.28E-17,0.971147018,1.90E-17,0,1.24E-17,1.28E-17,4.27E-09,-0.024275342,-6.973348382,-1.401952279
Northeast,2021,,,1.232,,,,,,,-0.392685264,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.015778972,-6.781770654,-1.361087822
Northeast,2022,,,1.995,,,,,,,-0.372091808,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.010256332,-6.426116624,-1.288300224
Northeast,2023,,,5.426,,,,,,,-0.279488731,1.28E-17,30,3.433987204,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.006666616,-4.826838803,-0.967367745
Northeast,2024,,,27.526,,,,,,,0.316992766,1.28E-17,44,3.80666249,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.0043333,5.474542671,1.093608544
Northeast,2025,,,21.83,,,,,,,0.163257082,1.28E-17,8,2.197224577,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.002816645,2.81948978,0.563052963
Northeast,,,,124.564,,,,,,,2.936059346,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,,-0.002816645,50.70646373,10.14044775
Yorkshire,1997,,,1.026,,,,,,,-0.398245228,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,-1,-1,-6.877792581,-1.675558516
Yorkshire,2000,,,3.557,,,,,,,-0.329933252,1.28E-17,0,0,0.00768718,0,1.28E-17,0.00768718,1.29E-17,0,9.85E-20,1.28E-17,4.27E-09,-0.649999998,-5.698028033,-1.334605606
Yorkshire,2001,,,2.373,,,,,,,-0.361889545,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,6.41E-09,-0.422499997,-6.249921049,-1.376734209
Yorkshire,2002,,,0.177,,,,,,,-0.421159833,1.28E-17,0,0,-0.935273513,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.274624996,-7.273533435,-1.537094186
Yorkshire,2004,,,3.51,,,,,,,-0.331201787,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,-0.707106781,-0.425993621,-5.719935948,-1.271785276
Yorkshire,2005,,,1.227,,,,,,,-0.392820215,1.28E-17,0,0,2.713574385,0,1.28E-17,2.713574385,3.02E-17,0,3.48E-17,1.28E-17,4.27E-09,-0.276895852,-6.784101283,-1.439889012
Yorkshire,2006,,,1.026,,,,,,,-0.398245228,1.28E-17,0,0,-0.873776077,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,-1,-0.529982304,-6.877792581,-1.534553207
Yorkshire,2007,,,0.468,,,,,,,-0.413305711,1.28E-17,0,0,0.889150436,0,1.28E-17,0.889150436,1.85E-17,0,1.14E-17,1.28E-17,4.27E-09,-0.344488496,-7.13789081,-1.530924711
Yorkshire,2008,,,4.977,,,,,,,-0.291607291,1.28E-17,0,0,1.032644455,0,1.28E-17,1.032644455,1.94E-17,0,1.32E-17,1.28E-17,4.27E-09,-0.223917521,-5.036129314,-1.074401119
Yorkshire,2009,,,2.439,,,,,,,-0.360108198,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.145546387,-6.219156743,-1.287495265
Yorkshire,2010,,,8.481,,,,,,,-0.197033935,1.28E-17,0,0,-0.58678804,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.09460515,-3.402824305,-0.708946406
Yorkshire,2011,,,6.148,,,,,,,-0.260001869,1.28E-17,0,0,0.110182907,0,1.28E-17,0.110182907,1.35E-17,0,1.41E-18,1.28E-17,-0.707106781,-0.308980721,-4.490295933,-0.990753403
Yorkshire,2012,,,34.1,,,,,,,0.494425768,1.28E-17,0,0,-0.771280349,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.200837467,8.538854065,1.647519573
Yorkshire,2013,,,21.102,,,,,,,0.14360828,1.28E-17,0,0,0.253676926,0,1.28E-17,0.253676926,1.44E-17,0,3.25E-18,1.28E-17,4.27E-09,-0.130544352,2.480150155,0.456866725
Yorkshire,2014,,,51.935,,,,,,,0.975794433,1.28E-17,0,0,-1.017270095,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,-0.707106777,-0.332341201,16.85220875,3.27073939
Yorkshire,2015,,,58.481,,,,,,,1.152471712,1.28E-17,0,0,1.586121383,0,1.28E-17,1.586121383,2.30E-17,0,2.03E-17,1.28E-17,4.27E-09,-0.216021779,19.90346862,3.915887191
Yorkshire,2016,,,36.084,,,,,,,0.547974152,1.28E-17,0,0,0.048685471,0,1.28E-17,0.048685471,1.31E-17,0,6.24E-19,1.28E-17,4.27E-09,-0.140414155,9.463647768,1.850605307
Yorkshire,2017,,,9.449,,,,,,,-0.170907506,1.28E-17,0,0,-0.156305984,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.091269199,-2.951614474,-0.617703655
Yorkshire,2018,,,0.933,,,,,,,-0.400755308,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.059324978,-6.921142286,-1.402025951
Yorkshire,2019,,,5.083,,,,,,,-0.288746339,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,4.27E-09,-0.038561234,-4.986719973,-1.008912365
Yorkshire,2020,,,1.847,,,,,,,-0.376086345,1.28E-17,0,0,0.971147018,0,1.28E-17,0.971147018,1.90E-17,0,1.24E-17,1.28E-17,4.27E-09,-0.025064801,-6.495103251,-1.30654009
Yorkshire,2021,,,0.144,,,,,,,-0.422050507,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.01629212,-7.288915588,-1.462670754
Yorkshire,2022,,,0.205,,,,,,,-0.42040411,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.010589878,-7.260481911,-1.455273346
Yorkshire,2023,,,18.882,,,,,,,0.083690229,1.28E-17,55,4.025351691,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.006883421,1.445350749,0.287005124
Yorkshire,2024,,,23.21,,,,,,,0.200503438,1.28E-17,75,4.33073334,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.004474224,3.462743465,0.691206426
Yorkshire,2025,,,18.828,,,,,,,0.082232763,1.28E-17,3,1.386294361,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.002908245,1.420179953,0.283163517
Yorkshire,,,,239.83,,,,,,,6.047101705,1.28E-17,0,0,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,,-0.002908245,104.4349269,20.88611291
Yorkshire,1979,-0.302763844,,,,,,,,,,-7.382319633,0,0,-1.447752151,0,0,0,0,0,0,0,0,0,9.08E-19,-3.691159817
Yorkshire,1980,-0.316037266,,,,,,,,,,-7.705966755,0,0,-0.99677095,0,0,0,0,0,0,0,0,0,9.08E-19,-3.852983377
Yorkshire,1981,-0.676103912,,,,,,,,,,-16.48550606,0,0,-0.976271804,0,0,0,0,0,0,0,0,0,9.08E-19,-8.24275303
Yorkshire,1982,0.20564966,,,,,,,,,,5.01437523,0,0,0.00768718,0,5.01437523,0.00768718,5.033648431,0,0.038546403,5.01437523,0,0,9.08E-19,2.507187615
Yorkshire,1983,0.906823985,,,,,,,,,,22.11117555,0,0,0,0,22.11117555,0,22.11117555,0,0,22.11117555,0,0,9.08E-19,11.05558778
Yorkshire,1984,-0.835139464,,,,,,,,,,-20.36328506,0,0,0.315174362,0,0,0.315174362,0,0,0,0,0,0,9.08E-19,-10.18164253
Yorkshire,1985,0.070336312,,,,,,,,,,1.715016994,0,0,-1.201762405,0,1.715016994,0,1.715016994,0,0,1.715016994,0,0,9.08E-19,0.857508497
Yorkshire,1986,-0.496067135,,,,,,,,,,-12.09565217,0,0,-0.750781204,0,0,0,0,0,0,0,0,0,9.08E-19,-6.047826086
Yorkshire,1987,-0.297461414,,,,,,,,,,-7.253029972,0,0,0,0,0,0,0,0,0,0,0,0,9.08E-19,-3.626514986
Yorkshire,1988,0.12994257,,,,,,,,,,3.168402051,0,0,-0.299800003,0,3.168402051,0,3.168402051,0,0,3.168402051,0,0,9.08E-19,1.584201026
Yorkshire,1989,2.160877279,,,,,,,,,,52.68887641,0,0,-0.607287185,0,52.68887641,0,52.68887641,0,0,52.68887641,0,0,9.08E-19,26.34443821
Yorkshire,1990,-0.362585888,,,,,,,,,,-8.84096622,0,0,0.458668381,0,0,0.458668381,0,0,0,0,0,0,9.08E-19,-4.42048311
Yorkshire,1991,0.727360822,,,,,,,,,,17.73530816,0,0,0.028186325,0,17.73530816,0.028186325,17.98525475,0,0.499893161,17.73530816,0,0,9.08E-19,8.867654082
Yorkshire,1992,1.816357943,,,,,,,,,,44.28842865,0,0,0.315174362,0,44.28842865,0.315174362,51.26771728,0,13.95857725,44.28842865,0,0,9.08E-19,22.14421433
Yorkshire,1993,-0.190072008,,,,,,,,,,-4.634543878,0,0,2.631577803,0,0,2.631577803,0,0,0,0,0,0,9.08E-19,-2.317271939
Yorkshire,1994,-0.355714207,,,,,,,,,,-8.67341337,0,0,-0.730282058,0,0,0,0,0,0,0,0,0,9.08E-19,-4.336706685
Yorkshire,1995,-0.49989697,,,,,,,,,,-12.1890354,0,0,0,0,0,0,0,0,0,0,0,0,9.08E-19,-6.094517702
Yorkshire,1996,-0.142635064,,,,,,,,,,-3.477884351,0,0,0.725157272,0,0,0.725157272,0,0,0,0,0,0,9.08E-19,-1.738942175
Yorkshire,1997,0.321778092,,,,,,,,,,7.845945864,0,0,0,0,7.845945864,0,7.845945864,0,0,7.845945864,1,0.35,9.08E-19,4.027972932
Yorkshire,1998,1.558417867,,,,,,,,,,37.99905122,0,0,0.089683762,0,37.99905122,0.089683762,39.70300014,0,3.407897849,37.99905122,1,0.5775,9.08E-19,19.17277561
Yorkshire,1999,1.727157816,,,,,,,,,,42.11345346,0,0,-0.832777786,0,42.11345346,0,42.11345346,0,0,42.11345346,0,0.375375,9.08E-19,21.16933923
Yorkshire,2000,-0.272524047,,,,,,,,,,-6.644979792,0,0,0.00768718,0,0,0.00768718,0,0,0,0,-8.54E-09,0.243993747,9.08E-19,-3.249291772
Yorkshire,2001,-0.542858429,,,,,,,,,,-13.23656877,0,0,0,0,0,0,0,0,0,0,-6.41E-09,0.158595933,9.08E-19,-6.570705603
Yorkshire,2002,-0.051842135,,,,,,,,,,-1.264071724,0,0,-0.935273513,0,0,0,0,0,0,0,-8.54E-09,0.103087354,9.08E-19,-0.601109656
Yorkshire,2003,-0.665387861,,,,,,,,,,-16.22421556,0,0,0,0,0,0,0,0,0,0,-6.41E-09,0.067006778,9.08E-19,-8.092005747
Yorkshire,2004,2.346152518,,,,,,,,,,57.20646022,0,0,0,0,57.20646022,0,57.20646022,0,0,57.20646022,1.414213562,0.538529152,9.08E-19,28.76478886
Yorkshire,2005,-0.426271309,,,,,,,,,,-10.39381391,0,0,2.713574385,0,0,2.713574385,0,0,0,0,-8.54E-09,0.350043946,9.08E-19,-5.09189377
Yorkshire,2006,0.51923627,,,,,,,,,,12.6605874,0,0,-0.873776077,0,12.6605874,0,12.6605874,0,0,12.6605874,1,0.577528565,9.08E-19,6.503552271
Yorkshire,2007,-0.309672184,,,,,,,,,,-7.55076635,0,0,0.889150436,0,0,0.889150436,0,0,0,0,-8.54E-09,0.375393564,9.08E-19,-3.662765106
Yorkshire,2008,-0.506591931,,,,,,,,,,-12.35227927,0,0,1.032644455,0,0,1.032644455,0,0,0,0,-8.54E-09,0.244005814,9.08E-19,-6.102937891
Yorkshire,2009,-0.88487938,,,,,,,,,,-21.57609817,0,0,0,0,0,0,0,0,0,0,-8.54E-09,0.158603776,9.08E-19,-10.74046795
Yorkshire,2010,-0.551192628,,,,,,,,,,-13.43978232,0,0,-0.58678804,0,0,0,0,0,0,0,-8.54E-09,0.103092451,9.08E-19,-6.688963423
Yorkshire,2011,0.34418906,,,,,,,,,,8.392394607,0,0,0.110182907,0,8.392394607,0.110182907,8.854743824,0,0.924698435,8.392394607,1.414213562,0.56198484,9.08E-19,4.364792755
Yorkshire,2012,-1.092260659,,,,,,,,,,-26.63269564,0,0,-0.771280349,0,0,0,0,0,0,0,-8.54E-09,0.365290143,9.08E-19,-13.20676078
Yorkshire,2013,-0.269250135,,,,,,,,,,-6.565151679,0,0,0.253676926,0,0,0.253676926,0,0,0,0,-8.54E-09,0.23743859,9.08E-19,-3.211344262
Yorkshire,2014,0.013762668,,,,,,,,,,0.335576435,0,0,-1.017270095,0,0.335576435,0,0.335576435,0,0,0.335576435,1.414213553,0.649309827,9.08E-19,0.362581166
Yorkshire,2015,-0.025640275,,,,,,,,,,-0.625189269,0,0,1.586121383,0,0,1.586121383,0,0,0,0,-8.54E-09,0.422051385,9.08E-19,-0.185979219
Yorkshire,2016,-0.423299679,,,,,,,,,,-10.32135638,0,0,0.048685471,0,0,0.048685471,0,0,0,0,-8.54E-09,0.274333397,9.08E-19,-5.078378171
Yorkshire,2017,-0.781462547,,,,,,,,,,-19.05447568,0,0,-0.156305984,0,0,0,0,0,0,0,-8.54E-09,0.178316705,9.08E-19,-9.473742828
Yorkshire,2018,-0.714516573,,,,,,,,,,-17.42212563,0,0,0,0,0,0,0,0,0,0,-8.54E-09,0.115905855,9.08E-19,-8.676291056
Yorkshire,2019,-0.331907344,,,,,,,,,,-8.092928371,0,0,0,0,0,0,0,0,0,0,-8.54E-09,0.075338803,9.08E-19,-4.023862545
Yorkshire,2020,-0.524008571,,,,,,,,,,-12.77695089,0,0,0.971147018,0,0,0.971147018,0,0,0,0,-8.54E-09,0.048970219,9.08E-19,-6.373784377
Yorkshire,2023,,,,55,1,69142.59,736.57,69142.59,55,0.519280284,1.28E-17,55,4.025351691,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.001890359,8.968097637,1.79305242
Yorkshire,2024,,,,75,1,193431.55,653.6,193431.55,75,1.347819613,1.28E-17,75,4.33073334,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.001228734,23.2771747,4.65506632
Yorkshire,2025,,,,3,1,1048.49,33.32,1048.49,3,-0.926340724,1.28E-17,3,1.386294361,0,0,1.28E-17,0,1.28E-17,0,0,1.28E-17,0,-0.000798677,-15.99813109,-3.199865821
